sr_no,date,startup_name,subvertical,city,investors,investment_type,amount_usd,remarks,year,industry
1,2020-09-01,byju’s,e-learning,bangalore,tiger global management,private equity round,200000000.0,,2020.0,edtech
2,NaT,shuttl,app based shuttle service,gurgaon,susquehanna growth equity,series c,8048394.0,,,mobility
3,2020-09-01,mamaearth,retailer of baby and toddler products,bangalore,sequoia capital india,series b,18358860.0,,2020.0,ecommerce
4,2020-02-01,wealthbucket.in,online investment,delhi,vinod khatumal,pre-series a,3000000.0,,2020.0,fintech
5,2020-02-01,fashor,embroiled clothes for women,mumbai,sprout venture partners,seed round,1800000.0,,2020.0,other
6,NaT,pando,"open-market, freight management platform",chennai,chiratae ventures,series a,9000000.0,,,logistics
7,2020-10-01,zomato,online food delivery platform,gurgaon,ant financial,private equity round,150000000.0,,2020.0,technology
8,2019-12-12,ecozen,agritech,pune,sathguru catalyzer advisors,series a,6000000.0,,2019.0,technology
9,2019-06-12,cardekho,automobile,gurgaon,ping an global voyager fund,series d,70000000.0,,2019.0,ecommerce
10,2019-03-12,dhruva space,satellite communication,bangalore,"mumbai angels, ravikanth reddy",seed,50000000.0,,2019.0,other
11,NaT,rivigo,logistics services and solutions,gurgaon,"saif partners, spring canter investment ltd.",series f,20000000.0,,,technology
12,NaT,healthians,food solutions for corporate,bangalore,"paytm, nptk, sabre partners and neoplux",series c,12000000.0,,,food
13,NaT,licious,online meat and seafood ordering startup,bangalore,vertex growth fund,series e,30000000.0,,,ecommerce
14,NaT,incred,non-banking financial company,mumbai,,debt funding,5900000.0,,,fintech
15,NaT,trell,experience discovery platform,bangalore,ruizheng investment,seed round,2000000.0,,,media_entertainment
16,2019-11-12,rein games,real money based gaming startup,noida,manipal education and medical group (memg),seed round,50000000.0,,2019.0,media_entertainment
17,NaT,lenskart.com,online eyewear shopping portal,faridabad,softbank vision fund,series g,231000000.0,,,ecommerce
18,NaT,freshworks,business and customer engagement tools,san francisco,"sequoia, capitalg, accel",series h,150000000.0,,,technology
19,NaT,misters,men s health and wellness brand,gurgaon,"sauce.vc, rainforest ventures",series b,486000.0,,,healthcare
20,NaT,sunstone eduversity pvt. ltd,elearning,gurgaon,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",seed,1500000.0,,,edtech
21,NaT,burger singh,indian burger brand,gurgaon,rb investments,venture,,,,food
22,NaT,healthians,healthcare services,gurgaon,"dg daiwa ventures, dg incubation",series b,12000000.0,,,healthcare
23,NaT,ninjacart,agritech,bangalore,trifecta capital advisors,debt funding,26000000.0,,,other
24,NaT,aye finance,financial services to msmes,gurgaon,fintech,debt funding,17411265.0,,,fintech
25,2019-12-11,supergaming,social gaming platform,pune,dream incubator,seed funding,1300000.0,,2019.0,media_entertainment
26,NaT,clumio,recovery software,san jose,"altimeter capital, sutter hill ventures",series c,135000000.0,,,saas
27,2019-11-11,ebikego,electric bike rental,amritsar,startup buddy,seed,300000.0,,2019.0,mobility
28,NaT,digital mall asia,virtual e-commerce platform,delhi,amour infrastructure,seed funding,220000000.0,,,ecommerce
29,NaT,medikabazaar,b2b platform for medical supplies,mumbai,"ackermans & van haaren, healthquad, rebright partners, toppan printing",series b,15800000.0,,,healthcare
30,NaT,vogo automotive,scooter sharing app,kormangala,"matrix partners, stellaris venture partners, kalaari capital",series b,283000000.0,,,mobility
31,NaT,furtados school of music,music education,tulangan,ian fund and dsg consumer partners,,200000000.0,,,edtech
